GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SteroidMap,org.fissore.steroids,SteroidMap,0,411,0,14,0,72,0,57,0,50
SteroidMap,org.fissore.steroids,SMap,95,299,0,8,21,63,18,43,18,39
